"species","Abbottina_rivularis","Acheilognathus_chankaensis","Acheilognathus_macropterus","Aphyocypris_chinensis","Barbatula_nuda","Brachymystax_lenok","Carassius_auratus","Carassius_gibelio","Channa_argus","Chanodichthys_erythropterus","Chanodichthys_mongolicus","Cobitis_lutheri","Cobitis_melanoleuca","Coregonus_chadary","Cottus_poecilopus","Ctenopharyngodon_idella","Culter_alburnus","Cyprinus_carpio","Elopichthys_bambusa","Esox_lucius","Esox_reichertii","Eudontomyzon_morii","Gnathopogon_strigatus","Gobio_cynocephalus","Gobio_soldatovi","Gobiobotia_pappenheimi","Hemibarbus_labeo","Hemibarbus_maculatus","Hemiculter_bleekeri","Hemiculter_leucisculus","Hucho_taimen","Hypomesus_nipponensis","Hypomesus_olidus","Hypophthalmichthys_molitrix","Hypophthalmichthys_nobilis","Ictalurus_punctatus","Ladislavia_taczanowskii","Lefua_costata","Leiocassis_longirostris","Leuciscus_waleckii","Lota_lota","Luciobarbus_capito","Macropodus_chinensis","Megalobrama_skolkovii","Megalobrama_terminalis","Mesocottus_haitej","Micropercops_swinhonis","Microphysogobio_amurensis","Misgurnus_anguillicaudatus","Misgurnus_mohoity","Mylopharyngodon_piceus","Neosalanx_taihuensis","Oncorhynchus_keta","Oncorhynchus_mykiss","Opsariichthys_bidens","Oryzias_latipes","Parabotia_fasciatus","Parabramis_pekinensis","Paramisgurnus_dabryanus","Perca_fluviatilis","Perccottus_glenii","Phoxinus_phoxinus","Plagiognathops_microlepis","Protosalanx_hyalocranius","Pseudaspius_leptocephalus","Pseudobrama_simoni","Pseudorasbora_parva","Pungitius_sinensis","Rhinogobius_brunneus","Rhinogobius_cliffordpopei","Rhodeus_lighti","Rhodeus_ocellatus","Rhodeus_sericeus","Rhodeus_sinensis","Rhynchocypris_czekanowskii","Rhynchocypris_lagowskii","Rhynchocypris_oxycephalus","Rhynchocypris_percnurus","Rutilus_rutilus","Salvelinus_leucomaenis","Salvelinus_malma","Sander_lucioperca","Sarcocheilichthys_lacustris","Sarcocheilichthys_nigripinnis","Saurogobio_dabryi","Silurus_asotus","Siniperca_chuatsi","Squalidus_argentatus","Squalidus_chankaensis","Squaliobarbus_curriculus","Tachysurus_argentivittatus","Tachysurus_fulvidraco","Tachysurus_nitidus","Tachysurus_ussuriensis","Thymallus_arcticus","Thymallus_grubii","Thymallus_tugarinae","Tinca_tinca","Xenocypris_argentea","Zacco_platypus"
"Abbottina_rivularis",0,0.1714,0.1738,0.4606,0.2551,0.7235,0.2965,0.1624,0.6504,0.8738,0.6015,0.2273,0.1117,0.6916,0.235,0.6413,0.4863,0.0662,0.7693,0.7935,0.7935,0.7044,0.3427,0.1156,0.1195,0.34,0.2584,0.0248,0.3902,0.3613,0.9338,0.5611,0.3384,0.4351,0.5387,0.2896,0.3383,0.1385,0.3554,0.2603,0.6532,0.4044,0.4628,0.2329,0.3586,0.4495,0.1272,0.1198,0.2363,0.2418,0.7624,0.7918,0.865,0.6496,0.1196,0.3462,0.2223,0.7449,0.2281,0.49,0.3501,0.2294,0.2512,0.5576,0.5256,0.2273,0.1236,0.4604,0.4563,0.3403,0.2555,0.1522,0.1689,0.2801,0.4501,0.4562,0.4632,0.338,0.1422,0.8233,0.8638,0.4104,0.2479,0.0016,0.1159,0.5563,0.5267,1e-04,0.223,0.3547,0.3412,0.3511,0.2524,0.2949,0.5877,0.8132,0.8189,0.269,0.1511,0.3443
"Acheilognathus_chankaensis",0.1714,0,0.2296,0.387,0.3643,0.6727,0.1302,0.0405,0.5996,0.9341,0.6619,0.3898,0.2832,0.6319,0.4014,0.4749,0.5467,0.2199,0.7185,0.8539,0.8539,0.6537,0.2779,0.2782,0.2769,0.4981,0.4298,0.1963,0.2328,0.2661,0.883,0.4993,0.2787,0.2954,0.4435,0.4611,0.2776,0.2604,0.5268,0.1334,0.6024,0.5314,0.3803,0.1821,0.3078,0.3987,0.2758,0.2772,0.3899,0.3866,0.7028,0.7182,0.8142,0.5988,0.1711,0.4015,0.3936,0.5786,0.3907,0.4392,0.2993,0.1647,0.4226,0.5068,0.4748,0.3898,0.1611,0.5156,0.3915,0.2845,0.1463,0.0252,0.0064,0.1176,0.3942,0.4054,0.4105,0.2779,0.0647,0.7725,0.813,0.3596,0.3749,0.1698,0.2873,0.6166,0.476,0.1714,0.1706,0.2951,0.5076,0.5225,0.4239,0.4663,0.537,0.7624,0.7681,0.2182,0.2603,0.2757
"Acheilognathus_macropterus",0.1738,0.2296,0,0.5055,0.252,0.7764,0.1227,0.2553,0.7033,0.9267,0.7655,0.2798,0.1731,0.7356,0.4088,0.6897,0.5392,0.2124,0.9333,0.8465,0.8465,0.7573,0.2853,0.1693,0.2843,0.3938,0.3113,0.1888,0.4502,0.4809,0.9867,0.6148,0.3909,0.5102,0.6583,0.4537,0.5032,0.0456,0.4083,0.3629,0.7061,0.5239,0.6099,0.3969,0.5226,0.3998,0.061,0.0624,0.2714,0.2681,0.8065,0.8367,0.9179,0.5913,0.2763,0.4089,0.2849,0.5711,0.279,0.4318,0.517,0.2832,0.193,0.7273,0.6896,0.1687,0.2796,0.523,0.5101,0.514,0.376,0.2548,0.236,0.125,0.5127,0.402,0.5258,0.5029,0.2795,0.8762,0.9167,0.5744,0.2592,0.1754,0.169,0.6092,0.4685,0.1738,0.2857,0.3987,0.4039,0.404,0.3053,0.4589,0.6406,0.8661,0.8718,0.2108,0.2529,0.2739
"Aphyocypris_chinensis",0.4606,0.387,0.5055,0,0.3646,0.5175,0.406,0.383,0.5555,0.6678,0.6177,0.2346,0.3502,0.4767,0.4656,0.5286,0.3914,0.5091,0.6744,0.5875,0.5875,0.6095,0.2291,0.3451,0.5634,0.5651,0.4968,0.4855,0.3887,0.3597,0.6166,0.344,0.1235,0.4335,0.5371,0.5281,0.4557,0.4599,0.5938,0.4759,0.5583,0.7361,0.2289,0.3602,0.4859,0.5768,0.4446,0.452,0.568,0.2403,0.7698,0.3355,0.5478,0.7769,0.4603,0.3478,0.4606,0.7433,0.5688,0.5062,0.4774,0.2312,0.4896,0.5738,0.6529,0.3457,0.4481,0.5736,0.2268,0.3515,0.2407,0.3618,0.3806,0.3805,0.455,0.5835,0.4775,0.5671,0.3628,0.5062,0.5466,0.5377,0.4685,0.459,0.3543,0.5725,0.6541,0.4606,0.2376,0.362,0.3428,0.7006,0.4908,0.6444,0.3817,0.4961,0.5017,0.3963,0.594,0.2316
"Barbatula_nuda",0.2551,0.3643,0.252,0.3646,0,0.5307,0.3747,0.3517,0.4576,0.6809,0.6309,0.1389,0.1434,0.712,0.379,0.6084,0.5157,0.3,0.7987,0.6007,0.6007,0.5116,0.3666,0.1395,0.3657,0.364,0.2877,0.2764,0.5796,0.5684,0.7409,0.5851,0.3611,0.6244,0.7459,0.4301,0.5845,0.238,0.3848,0.4531,0.4604,0.3893,0.5801,0.2622,0.388,0.5922,0.2534,0.2548,0.359,0.1334,0.6718,0.6958,0.6721,0.79,0.3623,0.1569,0.144,0.6009,0.3603,0.6304,0.3795,0.2534,0.1694,0.6981,0.555,0.25,0.3609,0.4932,0.3692,0.4843,0.3462,0.345,0.3618,0.3619,0.4829,0.5967,0.4961,0.5842,0.3671,0.6304,0.6709,0.4398,0.2328,0.2567,0.1452,0.3634,0.6672,0.2551,0.2559,0.3752,0.263,0.4915,0.2818,0.3242,0.6171,0.6203,0.626,0.4094,0.3405,0.467
"Brachymystax_lenok",0.7235,0.6727,0.7764,0.5175,0.5307,0,0.6537,0.6323,0.3713,0.3725,0.3669,0.6162,0.6118,0.3742,0.6074,0.6422,0.4739,0.7205,0.4236,0.2922,0.2922,0.2413,0.6217,0.6168,0.843,0.6191,0.6874,0.6987,0.7733,0.74,0.3214,0.2846,0.5051,0.756,0.6374,0.8239,0.6174,0.7509,0.5903,0.5394,0.3741,0.6142,0.7419,0.4906,0.3649,0.6073,0.7396,0.7322,0.8384,0.6195,0.4167,0.4042,0.2526,0.4816,0.7239,0.5053,0.6125,0.5386,0.8376,0.3447,0.3734,0.5085,0.5834,0.4993,0.4824,0.7273,0.736,0.6106,0.4021,0.4994,0.6457,0.6535,0.6702,0.6703,0.5069,0.6006,0.4845,0.6171,0.608,0.2336,0.2513,0.3536,0.7423,0.7252,0.6077,0.3883,0.5923,0.7236,0.5021,0.5999,0.5092,0.7058,0.4711,0.4602,0.4691,0.2437,0.238,0.5657,0.8568,0.6193
"Carassius_auratus",0.2965,0.1302,0.1227,0.406,0.3747,0.6537,0,0.1341,0.5806,0.9151,0.7539,0.4025,0.2959,0.6129,0.5315,0.567,0.5276,0.3119,0.8106,0.8348,0.8348,0.6346,0.1858,0.292,0.4071,0.5165,0.4108,0.2895,0.3507,0.3797,0.8639,0.5154,0.2914,0.3875,0.5356,0.5532,0.4037,0.1683,0.5078,0.2634,0.5834,0.6234,0.5104,0.2858,0.3999,0.3003,0.1837,0.1851,0.3936,0.388,0.6837,0.7372,0.7951,0.4686,0.288,0.4205,0.4077,0.4484,0.4017,0.309,0.4175,0.1837,0.2925,0.6278,0.5669,0.2914,0.2912,0.5346,0.4106,0.4145,0.2765,0.1553,0.1365,0.0255,0.4132,0.3025,0.4263,0.4034,0.1568,0.7535,0.7939,0.4517,0.3819,0.2981,0.2917,0.5976,0.3458,0.2966,0.1862,0.276,0.5266,0.5188,0.413,0.5584,0.5179,0.7434,0.749,0.088,0.3676,0.1745
"Carassius_gibelio",0.1624,0.0405,0.2553,0.383,0.3517,0.6323,0.1341,0,0.5592,0.8936,0.6214,0.3795,0.2729,0.5914,0.3974,0.4789,0.5062,0.1794,0.6781,0.8134,0.8134,0.6132,0.2739,0.269,0.2729,0.4935,0.3893,0.1558,0.2521,0.2455,0.8425,0.4923,0.2684,0.2727,0.403,0.4206,0.2695,0.2564,0.4864,0.1293,0.562,0.4909,0.3763,0.1517,0.2674,0.3884,0.2718,0.2732,0.3705,0.365,0.6623,0.7142,0.7737,0.5583,0.1538,0.3975,0.3846,0.5825,0.3787,0.3987,0.2834,0.1607,0.3822,0.4937,0.4344,0.3795,0.1571,0.5116,0.3876,0.2804,0.1423,0.0212,0.038,0.1492,0.3902,0.3906,0.4033,0.2693,0.0243,0.732,0.7725,0.3192,0.3589,0.164,0.2687,0.5762,0.4355,0.1624,0.1632,0.2546,0.5036,0.4957,0.39,0.4258,0.4965,0.7219,0.7276,0.1777,0.2335,0.2626
"Channa_argus",0.6504,0.5996,0.7033,0.5555,0.4576,0.3713,0.5806,0.5592,0,0.3345,0.6044,0.5431,0.5387,0.5233,0.5343,0.458,0.4974,0.6247,0.4389,0.5031,0.5031,0.2793,0.5486,0.5437,0.6588,0.4349,0.5032,0.6256,0.5891,0.5558,0.3945,0.5448,0.5431,0.5491,0.6527,0.617,0.6554,0.6778,0.4061,0.6885,0.0561,0.6295,0.5577,0.4175,0.514,0.4231,0.6665,0.6591,0.543,0.5463,0.3209,0.5534,0.3523,0.4702,0.6508,0.4322,0.5394,0.4655,0.5423,0.4938,0.3003,0.4354,0.5103,0.5373,0.1337,0.6542,0.6629,0.4263,0.329,0.4262,0.5726,0.5804,0.5971,0.5972,0.3227,0.4164,0.3003,0.4329,0.5349,0.3827,0.3422,0.24,0.5581,0.6521,0.5345,0.2392,0.2437,0.6505,0.429,0.3046,0.4361,0.5216,0.398,0.3556,0.6182,0.3928,0.3871,0.4926,0.5615,0.6573
"Chanodichthys_erythropterus",0.8738,0.9341,0.9267,0.6678,0.6809,0.3725,0.9151,0.8936,0.3345,0,0.2722,0.7665,0.762,0.4133,0.7577,0.5703,0.3874,0.8458,0.3267,0.1687,0.1687,0.3916,0.8831,0.7671,0.8821,0.6582,0.7265,0.849,0.7013,0.668,0.2822,0.4349,0.6554,0.6591,0.5405,0.8381,0.8787,0.9012,0.6295,0.8007,0.3883,0.6284,0.6699,0.752,0.6263,0.7576,0.8899,0.8824,0.7664,0.7697,0.4309,0.4434,0.2401,0.5802,0.763,0.5444,0.7627,0.5778,0.7656,0.7171,0.6348,0.7699,0.7337,0.6495,0.4682,0.8776,0.7752,0.5386,0.6634,0.7607,0.9071,0.9148,0.9316,0.9317,0.6572,0.7509,0.6347,0.7673,0.8694,0.2727,0.2322,0.5745,0.7814,0.8754,0.7579,0.3492,0.5781,0.8738,0.7635,0.639,0.6594,0.7449,0.6214,0.5789,0.5083,0.2828,0.2771,0.827,0.7849,0.7695
