Sample,Abbottina_rivularis,Acheilognathus_chankaensis,Acheilognathus_macropterus,Aphyocypris_chinensis,Barbatula_nuda,Brachymystax_lenok,Carassius_auratus,Carassius_gibelio,Channa_argus,Chanodichthys_erythropterus,Chanodichthys_mongolicus,Cobitis_lutheri,Cobitis_melanoleuca,Coregonus_chadary,Cottus_poecilopus,Ctenopharyngodon_idella,Culter_alburnus,Cyprinus_carpio,Elopichthys_bambusa,Esox_lucius,Esox_reichertii,Eudontomyzon_morii,Gnathopogon_strigatus,Gobio_cynocephalus,Gobio_soldatovi,Gobiobotia_pappenheimi,Hemibarbus_labeo,Hemibarbus_maculatus,Hemiculter_bleekeri,Hemiculter_leucisculus,Hucho_taimen,Hypomesus_nipponensis,Hypomesus_olidus,Hypophthalmichthys_molitrix,Hypophthalmichthys_nobilis,Ictalurus_punctatus,Ladislavia_taczanowskii,Lefua_costata,Leiocassis_longirostris,Leuciscus_waleckii,Lota_lota,Luciobarbus_capito,Macropodus_chinensis,Megalobrama_skolkovii,Megalobrama_terminalis,Mesocottus_haitej,Micropercops_swinhonis,Microphysogobio_amurensis,Misgurnus_anguillicaudatus,Misgurnus_mohoity,Mylopharyngodon_piceus,Neosalanx_taihuensis,Oncorhynchus_keta,Oncorhynchus_mykiss,Opsariichthys_bidens,Oryzias_latipes,Parabotia_fasciatus,Parabramis_pekinensis,Paramisgurnus_dabryanus,Perca_fluviatilis,Perccottus_glenii,Phoxinus_phoxinus,Plagiognathops_microlepis,Protosalanx_hyalocranius,Pseudaspius_leptocephalus,Pseudobrama_simoni,Pseudorasbora_parva,Pungitius_sinensis,Rhinogobius_brunneus,Rhinogobius_cliffordpopei,Rhodeus_lighti,Rhodeus_ocellatus,Rhodeus_sericeus,Rhodeus_sinensis,Rhynchocypris_czekanowskii,Rhynchocypris_lagowskii,Rhynchocypris_oxycephalus,Rhynchocypris_percnurus,Rutilus_rutilus,Salvelinus_leucomaenis,Salvelinus_malma,Sander_lucioperca,Sarcocheilichthys_lacustris,Sarcocheilichthys_nigripinnis,Saurogobio_dabryi,Silurus_asotus,Siniperca_chuatsi,Squalidus_argentatus,Squalidus_chankaensis,Squaliobarbus_curriculus,Tachysurus_argentivittatus,Tachysurus_fulvidraco,Tachysurus_nitidus,Tachysurus_ussuriensis,Thymallus_arcticus,Thymallus_grubii,Thymallus_tugarinae,Tinca_tinca,Xenocypris_argentea,Zacco_platypus
Spring_W01_1,2,11,1,2,1427,1,14,976,0,775,11,0,0,0,1,16,0,1336,6,1,0,0,1,2,28,0,2,19,20,25,0,2,0,5,530,0,0,869,0,2395,1,1236,0,6,4,2,1,1,8,0,4,0,0,1,0,0,4,816,3,0,88,0,8,0,22,6,23,2,25,41,9,4,244,0,0,18,2559,3,32,0,1,4,1,0,3,15,3,306,17,2,0,445,0,0,0,0,0,2,5,982
Spring_W01_2,0,1,0,0,59,0,2,21,0,13,2,28,0,0,1,11,0,57,0,0,0,0,0,1,9,0,10,413,8,23,0,3,0,0,6,0,0,3,2,1108,4,57,0,0,0,28,0,13,2,1,5,0,0,0,0,0,2,1,7,0,276,0,0,0,3,15,1,5,26,2,0,0,33,0,0,0,32,7,2,0,0,11,0,0,2,24,14,8,21,0,0,6,1,1,0,0,0,0,266,31
Spring_W01_3,0,0,0,0,84,0,4,1669,1,7,7,0,0,0,1,8,1,65,0,0,0,0,0,0,21,0,2,662,45,15,0,4,0,0,38,0,0,19,0,8381,19,99,0,4,0,2,0,5,7,1,3,0,0,2,0,0,4,6,14,0,3099,0,5,0,80,8,10,3,24,8,0,10,39,0,0,3,19,6,891,0,0,5,0,0,11,31,0,1244,23,0,1,1511,1,11,0,4,0,0,878,132
Spring_W02_1,0,404,0,5,406,0,2,32,1,1398,2,0,0,0,0,11,4,530,0,0,12,0,20,254,41,0,6,32,29,1133,0,3,0,3,1397,0,0,3,2,29,0,52,0,0,0,3,0,11,3,1,1,0,0,2,0,0,2,2,494,519,9836,1,10,0,642,4,1,26,480,460,0,1,1,0,0,31,1442,3,2,0,0,2,0,0,2,28,5,1038,513,0,34,13,0,3,0,0,0,0,314,1074
Spring_W02_2,2,9,0,0,155,631,2,6,604,9,10,0,6,0,0,23,0,58,0,0,13,0,10,745,45,0,9,635,516,41,0,8,0,4,36,0,0,5,3,31,0,573,0,0,0,16,1,19,0,609,5,1,0,8,49,0,2,3,13,0,28278,8,11,0,21,4,0,23,59,74,0,18,6,0,2,38,13,5,0,0,0,13,0,4,5,5,12,83,11,0,35,362,0,12,0,0,3,0,10,13
Spring_W02_3,0,2,0,0,425,7,0,9,1,298,7,0,0,0,3,10,0,17,1,0,31,0,0,7,5,0,0,7,11,4,0,0,0,0,16,0,0,15,0,10,0,11,0,0,0,0,0,334,7,0,1,0,0,5,1,0,1,0,4,0,19139,0,0,0,429,3,0,21,21,4,0,3,3,0,2,69,3,4,0,0,0,2,0,0,1,13,8,6,6,0,12,440,2,6,0,0,0,0,3,16
Spring_W03_1,1,799,2,0,20,1,2,39,235,11,2,1,0,0,44,10,0,55,14,0,2,0,0,4,0,0,2,25,25,13,0,0,0,1,15,0,0,6,0,1194,0,30,0,0,4,3,0,20,9,2,79,0,0,0,11,0,9,3,0,0,309,0,14,0,3759,14,23,0,10,39,3,8,44,0,0,34,28,1,15,0,0,6,0,1,2,5,9,3112,32,0,8,13,0,6,0,0,0,0,12,44
Spring_W03_2,2,5,0,0,5,0,1,13,6,844,3,44,0,0,2,900,0,2372,0,0,11,0,0,1,1,0,3,668,16,708,0,0,0,0,39,0,0,1,0,43,2,69,0,0,0,53,0,959,0,0,893,0,0,0,5,2,3,1,0,0,441,0,2,0,17,27,0,0,39,3,0,5,26,3,0,9,912,4,0,0,0,20,1,0,3,2,2061,1077,986,0,8,13,0,1,0,0,0,4,10,68
Spring_W03_3,0,5,0,0,15,5,35,82,1,672,1569,0,0,0,0,14,0,42,0,0,7,0,0,0,2,0,0,22,49,22,0,0,0,4,1410,0,0,13,0,124,41,2983,0,0,6,2,0,63,0,1,2,0,0,0,6,0,14,0,0,0,559,0,8,0,108,866,16,0,1514,49,0,1593,52,0,0,9,9,0,25,0,0,6,0,0,9,1,11,1239,29,0,18,61,0,2,0,0,0,3,14,109
Spring_W04_1,259,10,0,0,36,0,19,16,3,30,3,0,0,0,1,1911,0,58,0,0,1721,0,13,3,1,0,1,30,240,15,0,0,0,5,21,0,0,11,0,694,0,1732,0,0,0,0,0,37,1,4,6,0,0,0,4,0,6,5,6,8,744,0,1855,0,19,3,0,32,3811,20,0,2,0,1,0,2618,22,1,1,0,0,5,0,0,16,14,3,1703,44,0,5208,13,0,6,0,0,0,0,19,101
