"sample","Abbottina_rivularis","Acheilognathus_chankaensis","Acheilognathus_macropterus","Aphyocypris_chinensis","Barbatula_nuda","Brachymystax_lenok","Carassius_auratus","Carassius_gibelio","Channa_argus","Chanodichthys_erythropterus","Chanodichthys_mongolicus","Cobitis_lutheri","Cobitis_melanoleuca","Coregonus_chadary","Cottus_poecilopus","Ctenopharyngodon_idella","Culter_alburnus","Cyprinus_carpio","Elopichthys_bambusa","Esox_lucius","Esox_reichertii","Eudontomyzon_morii","Gnathopogon_strigatus","Gobio_cynocephalus","Gobio_soldatovi","Gobiobotia_pappenheimi","Hemibarbus_labeo","Hemibarbus_maculatus","Hemiculter_bleekeri","Hemiculter_leucisculus","Hucho_taimen","Hypomesus_nipponensis","Hypomesus_olidus","Hypophthalmichthys_molitrix","Hypophthalmichthys_nobilis","Ictalurus_punctatus","Ladislavia_taczanowskii","Lefua_costata","Leiocassis_longirostris","Leuciscus_waleckii","Lota_lota","Luciobarbus_capito","Macropodus_chinensis","Megalobrama_skolkovii","Megalobrama_terminalis","Mesocottus_haitej","Micropercops_swinhonis","Microphysogobio_amurensis","Misgurnus_anguillicaudatus","Misgurnus_mohoity","Mylopharyngodon_piceus","Neosalanx_taihuensis","Oncorhynchus_keta","Oncorhynchus_mykiss","Opsariichthys_bidens","Oryzias_latipes","Parabotia_fasciatus","Parabramis_pekinensis","Paramisgurnus_dabryanus","Perca_fluviatilis","Perccottus_glenii","Phoxinus_phoxinus","Plagiognathops_microlepis","Protosalanx_hyalocranius","Pseudaspius_leptocephalus","Pseudobrama_simoni","Pseudorasbora_parva","Pungitius_sinensis","Rhinogobius_brunneus","Rhinogobius_cliffordpopei","Rhodeus_lighti","Rhodeus_ocellatus","Rhodeus_sericeus","Rhodeus_sinensis","Rhynchocypris_czekanowskii","Rhynchocypris_lagowskii","Rhynchocypris_oxycephalus","Rhynchocypris_percnurus","Rutilus_rutilus","Salvelinus_leucomaenis","Salvelinus_malma","Sander_lucioperca","Sarcocheilichthys_lacustris","Sarcocheilichthys_nigripinnis","Saurogobio_dabryi","Silurus_asotus","Siniperca_chuatsi","Squalidus_argentatus","Squalidus_chankaensis","Squaliobarbus_curriculus","Tachysurus_argentivittatus","Tachysurus_fulvidraco","Tachysurus_nitidus","Tachysurus_ussuriensis","Thymallus_arcticus","Thymallus_grubii","Thymallus_tugarinae","Tinca_tinca","Xenocypris_argentea","Zacco_platypus"
"Spring_W01",2,12,1,2,1570,1,20,2666,1,795,20,28,0,0,3,35,1,1458,6,1,0,0,1,3,58,0,14,1094,73,63,0,9,0,5,574,0,0,891,2,11884,24,1392,0,10,4,32,1,19,17,2,12,0,0,3,0,0,10,823,24,0,3463,0,13,0,105,29,34,10,75,51,9,14,316,0,0,21,2610,16,925,0,1,20,1,0,16,70,17,1558,61,2,1,1962,2,12,0,4,0,2,1149,1145
"Spring_W02",2,415,0,5,986,638,4,47,606,1705,19,0,6,0,3,44,4,605,1,0,56,0,30,1006,91,0,15,674,556,1178,0,11,0,7,1449,0,0,23,5,70,0,636,0,0,0,19,1,364,10,610,7,1,0,15,50,0,5,5,511,519,57253,9,21,0,1092,11,1,70,560,538,0,22,10,0,4,138,1458,12,2,0,0,17,0,4,8,46,25,1127,530,0,81,815,2,21,0,0,3,0,327,1103
"Spring_W03",3,809,2,0,40,6,38,134,242,1527,1574,45,0,0,46,924,0,2469,14,0,20,0,0,5,3,0,5,715,90,743,0,0,0,5,1464,0,0,20,0,1361,43,3082,0,0,10,58,0,1042,9,3,974,0,0,0,22,2,26,4,0,0,1309,0,24,0,3884,907,39,0,1563,91,3,1606,122,3,0,52,949,5,40,0,0,32,1,1,14,8,2081,5428,1047,0,34,87,0,9,0,0,0,7,36,221
"Spring_W04",273,10,0,0,301,14,20,44,5,36,7,1,435,0,9,2142,1,2592,5,0,2889,0,1599,158,65,0,7,661,278,3777,0,8,0,5,620,0,0,16,0,1930,176,1780,0,9,3,592,0,39,14,11,9,0,0,232,4,0,8,7,16,10,2385,7,1873,0,22,19,7,84,5173,736,1,3,808,3,4,2680,50,5,1,0,0,886,1,326,25,22,9,2657,57,0,7151,172,103,869,0,0,6,2,695,126
"Spring_W05",0,6,0,0,51,9,10,104,1,12,11,28,0,0,3,28,1,105,1058,0,14,0,21,7,3,0,8,1196,2289,3219,0,0,0,1,1259,0,0,40,1,676,34,3943,0,4,614,112,1,17,2,1,573,0,0,3,0,0,8,26,1,0,4270,0,1451,0,70,2623,2099,17,3308,1268,10,515,5003,0,0,37,1995,5,29,0,1,1801,0,3,7,6,26,158,20,0,19,1392,4,14,0,0,0,1,25,58
"Spring_W06",11,8,0,1,13794,1356,9,1343,13,35,11,29,7,0,21,2675,2,1410,5,0,30,2,1381,11,78,0,4,951,167,1105,0,18,0,2,4558,0,0,17,0,1434,16,84,2,2,5,1553,58,7,878,14,12,0,0,12,6,0,0,5,32,17,3716,1414,1202,0,19,22,4,9192,1501,1509,10,2,1508,0,1506,21404,1291,13,21,0,0,51,2,8,22,18,24,2041,16,2,97,26,2,19,0,1,715,1,1257,767
"Spring_W07",7,63,0,0,232,30,14,6010,11,40,4,8124,0,0,52,77,36,1248,7,0,0,0,31,7,0,0,16,1183,190,231,0,0,0,8,65,0,0,107,23,2043,940,393,0,1,8,5670,0,93,138,0,12,0,0,0,5,1173,5,28,1,1,15332,8,35,0,47,33,21,50,89,2488,1163,3,20847,0,11,2292,125,767,2023,0,0,71,1,12,28,74,121,263,24,0,1,48,0,43,0,7,3,97,69,56
"Spring_W08",1,199,1,0,920,0,12,6348,0,841,214,17,7,0,0,44,30,965,4,0,379,0,22,4,0,0,227,520,722,2213,0,0,0,5,34,0,0,27,0,2152,715,119,0,0,3,57,9,367,0,3,1,0,0,0,2,0,19,7,0,1,3293,0,26,0,872,10,69,5,458,241,0,3,19,4,0,584,557,796,4,0,0,1165,0,11,17,100,2,2031,10,0,0,145,2,12,0,1,0,4,1131,15
"Spring_W09",27,4110,14,1,919,0,20,1429,4,440,12,635,1,0,8,2110,11,1478,1,0,200,0,6,552,0,0,60,1611,1657,1312,0,0,0,6,1992,1,0,10,0,3757,31,1151,0,4,4,801,0,229,2,0,8,0,0,0,0,3,1045,364,6,3,2056,1,406,0,9,7,0,1197,2928,841,1,363,22,716,0,2129,1069,7,20,0,0,1874,0,2875,14,978,713,3517,559,0,1,1657,502,4,0,8,0,387,4285,803
"Spring_W10",16,162,1,0,531,0,34,5882,2,19,19,1245,1,0,1,180,98,1314,369,0,561,0,31,3,0,0,31,97,4769,2562,0,0,1,1,12,0,0,2106,0,80,25,1429,0,5,118,6,1692,230,0,1,1,0,10,0,1,0,172,20,5,1,6747,0,125,0,32,23,3,4,311,19,1,120,420,2,0,87,1964,17,50,0,0,23,0,11,2,155,465,309,43,29,8,24,0,0,0,0,0,8,1376,1037
