"site","site_name","channel_type","lon","lat","elev_m","strahler","drainage_km2","discharge_cms","width_sat_m","grad_dem","dist_source_km","dist_mouth_km","MAT_C","MAP_mm","log_drainage","log_discharge","log_width","PC1","PC2","PC3"
"W01","Bawuba (858) Farm","main stem",133.446,45.647,64,6,51876,408.03,75,0.089,419.5,462.6,3.06,679,4.715,2.611,1.875,-0.573,-1.717,-0.748
"W02","Hutou","main stem",133.677,45.978,56,6,71452,505.95,363,0.125,543,392.3,2.99,668,4.854,2.704,2.56,0.395,-1.231,-0.324
"W03","Raohe","main stem",134.03,46.803,44,7,109287,834.05,388,0.134,677,258.3,1.9,646,5.039,2.921,2.589,1.86,0.328,0.612
"W04","Sipai","main stem",134.06,46.968,77,7,132260,1075.22,523,0.017,695.4,240,1.9,646,5.121,3.031,2.719,1.512,-0.145,0.959
"W05","Haiqing","main stem",134.664,47.867,36,7,187674,1545.56,424,0.021,836,99.3,1.85,650,5.273,3.189,2.627,2.836,0.733,0.245
"W06","Zhuaji","main stem",134.668,48.176,34,7,193704,1595.43,1039,0,882.1,53.3,1.85,650,5.287,3.203,3.017,3.286,0.887,0.193
"W07","Tongjiangkou","main stem",134.707,48.275,37,7,195047,1613.82,553,0.015,893.7,41.6,1.43,694,5.29,3.208,2.743,3.244,0.873,-2.109
"W08","Songacha River site","tributary",133.358,45.573,62,5,24819,175.6,52,0.055,335.2,480.2,3.7,643,4.395,2.245,1.716,-1.499,-1.782,1.075
"W09","Muling River site","tributary",133.465,45.886,57,5,17474,77.83,63,0.267,510,425.4,2.99,668,4.242,1.891,1.799,-1.086,-0.801,-0.47
"W10","Qihulin River site","tributary",133.648,46.093,54,4,3064,16.77,32,0.061,160.3,375.6,2.99,668,3.486,1.225,1.505,-2.251,-0.446,-0.552
"W11","Dumu River site","tributary",133.564,46.355,74,2,210,1.24,13,1.692,29.5,333.9,2.17,654,2.322,0.093,1.114,-5.026,2.748,-0.185
"W12","Abuqin River site","tributary",133.612,46.173,55,4,1566,9.17,26,0.193,105.4,377.6,2.99,668,3.195,0.962,1.415,-2.697,-0.205,-0.577
"W13","Naoli River site","tributary",133.766,47.253,46,6,22260,106.77,67,0.12,334,228.7,2.2,621,4.348,2.028,1.826,-0.001,0.759,1.881
