site,cropland,forest,shrub,grassland,water,snow_ice,barren,impervious,wetland,classified_pixels,buffer_area_km2
W01,0.3661,0.4990,0.0000,0.0000,0.1237,0.0000,0.0000,0.0082,0.0030,8199,7.379
W02,0.3020,0.4217,0.0000,0.0010,0.1118,0.0000,0.0000,0.1568,0.0067,5974,5.377
W03,0.1341,0.1084,0.0003,0.0000,0.3179,0.0000,0.0000,0.4318,0.0075,5987,5.388
W04,0.5195,0.0974,0.0000,0.0000,0.3012,0.0000,0.0000,0.0620,0.0199,7401,6.661
W05,0.5383,0.0562,0.0000,0.0004,0.2997,0.0000,0.0000,0.0981,0.0073,7581,6.823
W06,0.4535,0.0969,0.0000,0.0004,0.3749,0.0000,0.0005,0.0691,0.0046,7556,6.800
W07,0.4410,0.1477,0.0000,0.0016,0.3465,0.0000,0.0000,0.0499,0.0133,7659,6.893
W08,0.7744,0.1895,0.0002,0.0000,0.0325,0.0000,0.0000,0.0004,0.0030,9819,8.837
W09,0.9288,0.0413,0.0000,0.0000,0.0198,0.0000,0.0000,0.0047,0.0054,13941,12.547
W10,0.8582,0.1006,0.0000,0.0000,0.0050,0.0000,0.0000,0.0309,0.0053,13952,12.557
W11,0.3713,0.6179,0.0000,0.0001,0.0000,0.0000,0.0000,0.0077,0.0029,13951,12.556
W12,0.8912,0.0979,0.0000,0.0003,0.0019,0.0000,0.0000,0.0064,0.0023,13949,12.554
W13,0.8205,0.0540,0.0000,0.0000,0.0219,0.0000,0.0000,0.0020,0.1016,13950,12.555
