site,Dissolved Oxygen,Hardness,Transparency,Total Phosphorus,Conductivity,Temperature,Total Nitrogen,pH
W01,10.17,132.13,31.1,0.04,36.7,6.5,1.22,7.25
W02,9.76,60.06,23.5,0.04,38.7,7.9,1.24,6.56
W03,9.27,80.08,35.6,0.05,31.7,6.8,1.0,7.49
W04,10.88,50.05,32.3,0.02,30.8,6.8,1.32,6.88
W05,9.26,104.1,15.8,0.06,37.4,9.2,1.14,7.18
W06,9.88,76.08,20.4,0.06,31.9,7.8,1.34,6.92
W07,10.87,56.06,15.2,0.05,33.1,7.6,1.18,7.09
W08,9.93,36.04,21.2,0.12,83.2,8.9,1.38,7.43
W09,10.25,54.05,25.3,0.05,143.9,8.0,2.62,7.52
W10,11.43,48.05,60.3,0.04,73.7,9.9,2.86,8.06
W11,11.68,52.05,45.7,0.01,25.1,6.8,0.74,6.87
W12,10.73,72.07,22.8,0.06,35.3,7.7,1.94,7.04
W13,11.37,44.04,15.9,0.06,77.3,9.0,1.5,7.68
