season,site,temperature_C,pH,conductivity_uS_cm,dissolved_oxygen_mg_L,total_phosphorus_mg_L,total_nitrogen_mg_L,ammonia_nitrogen_mg_L
Spring,W01,6.5,7.25,36.7,10.17,0.04,1.22,0.34
Spring,W02,7.9,6.56,38.7,9.76,0.04,1.24,0.38
Spring,W03,6.8,7.49,31.7,9.27,0.05,1,0.33
Spring,W04,6.8,6.88,30.8,10.88,0.02,1.32,0.33
Spring,W05,9.2,7.18,37.4,9.26,0.06,1.14,0.42
Spring,W06,7.8,6.92,31.9,9.88,0.06,1.34,0.5
Spring,W07,7.6,7.09,33.1,10.87,0.05,1.18,0.41
Spring,W08,8.9,7.43,83.2,9.93,0.12,1.38,0.8
Spring,W09,8,7.52,143.9,10.25,0.05,2.62,1.32
Spring,W10,9.9,8.06,73.7,11.43,0.04,2.86,0.52
Spring,W11,6.8,6.87,25.1,11.68,0.01,0.74,0.12
Spring,W12,7.7,7.04,35.3,10.73,0.06,1.94,0.38
Spring,W13,9,7.68,77.3,11.37,0.06,1.5,0.68
Autumn,W01,7,7.45,63.3,11.52,0.04,1.24,0.64
Autumn,W02,6.7,7.56,62.8,11.22,0.04,1.24,0.64
Autumn,W03,6.1,7.38,49.9,11.59,0.078,2.8,0.03
Autumn,W04,5.8,7.75,45.7,11.88,0.05,0.99,0.05
Autumn,W05,5.6,7.67,69.5,11.92,0.079,0.68,0.1
Autumn,W06,5.5,7.53,60.5,11.99,0.079,0.68,0.1
Autumn,W07,5.5,7.54,58.3,11.96,0.05,0.99,0.05
Autumn,W08,7.5,7.68,92.5,11.93,0.04,1.24,0.64
Autumn,W09,6.3,7.36,161.5,7.49,0.028,1.29,0.1
Autumn,W10,6.5,7.43,143.3,8.84,0.04,1.24,0.64
Autumn,W11,5.6,7.28,34,11.82,0.04,1.24,0.64
Autumn,W12,5.9,7.41,67.1,9.53,0.04,1.24,0.64
Autumn,W13,3.4,7.82,144.2,12.15,0.063,2.24,0.06
