species,genus,family,order
Abbottina_rivularis,Abbottina,Gobionidae,Cypriniformes
Acheilognathus_chankaensis,Acheilognathus,Acheilognathidae,Cypriniformes
Acheilognathus_macropterus,Acheilognathus,Acheilognathidae,Cypriniformes
Aphyocypris_chinensis,Aphyocypris,Xenocyprididae,Cypriniformes
Barbatula_nuda,Barbatula,Nemacheilidae,Cypriniformes
Brachymystax_lenok,Brachymystax,Salmonidae,Salmoniformes
Carassius_auratus,Carassius,Cyprinidae,Cypriniformes
Carassius_gibelio,Carassius,Cyprinidae,Cypriniformes
Channa_argus,Channa,Channidae,Anabantiformes
Chanodichthys_erythropterus,Chanodichthys,Xenocyprididae,Cypriniformes
Chanodichthys_mongolicus,Chanodichthys,Xenocyprididae,Cypriniformes
Cobitis_lutheri,Cobitis,Cobitidae,Cypriniformes
Cobitis_melanoleuca,Cobitis,Cobitidae,Cypriniformes
Coregonus_chadary,Coregonus,Salmonidae,Salmoniformes
Cottus_poecilopus,Cottus,Cottidae,Perciformes
Ctenopharyngodon_idella,Ctenopharyngodon,Xenocyprididae,Cypriniformes
Culter_alburnus,Culter,Xenocyprididae,Cypriniformes
Cyprinus_carpio,Cyprinus,Cyprinidae,Cypriniformes
Elopichthys_bambusa,Elopichthys,Xenocyprididae,Cypriniformes
Esox_lucius,Esox,Esocidae,Esociformes
Esox_reichertii,Esox,Esocidae,Esociformes
Eudontomyzon_morii,Eudontomyzon,Petromyzontidae,Petromyzontiformes
Gnathopogon_strigatus,Gnathopogon,Gobionidae,Cypriniformes
Gobio_cynocephalus,Gobio,Gobionidae,Cypriniformes
Gobio_soldatovi,Gobio,Gobionidae,Cypriniformes
Gobiobotia_pappenheimi,Gobiobotia,Gobionidae,Cypriniformes
Hemibarbus_labeo,Hemibarbus,Gobionidae,Cypriniformes
Hemibarbus_maculatus,Hemibarbus,Gobionidae,Cypriniformes
Hemiculter_bleekeri,Hemiculter,Xenocyprididae,Cypriniformes
Hemiculter_leucisculus,Hemiculter,Xenocyprididae,Cypriniformes
Hucho_taimen,Hucho,Salmonidae,Salmoniformes
