"Species_code","Species","Diet","Mouth position","Trophic level","Water layer","Migration type","Body shape","Max body length (cm)","Egg ecological type","Resilience"
"Abbottina_rivularis","Abbottina rivularis","Omnivore","Inferior",3.3,"Benthic","Resident","Bent-axis",18.9,"Adhesive","Medium"
"Acheilognathus_chankaensis","Acheilognathus chankaensis","Omnivore","Terminal",2,"Benthic","Resident","Bent-axis",14.4,"Adhesive","Medium"
"Acheilognathus_macropterus","Acheilognathus macropterus","Omnivore","Inferior",2,"Benthic","Resident","Oval",27.5,"Adhesive","Medium"
"Aphyocypris_chinensis","Aphyocypris chinensis","Omnivore","Terminal",3.1,"Mid-upper","Resident","Elongate",6,"Adhesive","High"
"Barbatula_nuda","Barbatula nuda","Omnivore","Inferior",2.6,"Benthic","Resident","Elongate",22,"Adhesive","Low"
"Brachymystax_lenok","Brachymystax lenok","Carnivore","Terminal",3.8,"Mid-lower","Migratory","Elongate",80,"Adhesive","Low"
"Carassius_auratus","Carassius auratus","Omnivore","Terminal",2,"Benthic","Resident","Oval",48,"Adhesive","Medium"
"Carassius_gibelio","Carassius gibelio","Omnivore","Terminal",2.5,"Benthic","Resident","Bent-axis",46.6,"Adhesive","Medium"
"Channa_argus","Channa argus","Carnivore","Terminal",4.4,"Benthic","Resident","Elongate",100,"Pelagic","Low"
"Chanodichthys_erythropterus","Chanodichthys erythropterus","Carnivore","Superior",4.4,"Mid-upper","Migratory","Elongate",102,"Pelagic","Low"
"Chanodichthys_mongolicus","Chanodichthys mongolicus","Carnivore","Superior",3.3,"Mid-upper","Migratory","Bent-axis",100,"Adhesive","Low"
"Cobitis_lutheri","Cobitis lutheri","Omnivore","Inferior",3.2,"Benthic","Resident","Elongate",20,"Adhesive","High"
"Cobitis_melanoleuca","Cobitis melanoleuca","Omnivore","Inferior",3.3,"Benthic","Resident","Elongate",20,"Adhesive","Medium"
"Coregonus_chadary","Coregonus chadary","Carnivore","Terminal",3.2,"Mid-upper","Migratory","Elongate",55,"Demersal","Medium"
"Cottus_poecilopus","Cottus poecilopus","Carnivore","Inferior",3.5,"Benthic","Resident","Bent-axis",12,"Adhesive","High"
"Ctenopharyngodon_idella","Ctenopharyngodon idella","Herbivore","Terminal",2,"Mid-upper","Resident","Bent-axis",68.2,"Pelagic","Low"
"Culter_alburnus","Culter alburnus","Carnivore","Superior",3.3,"Mid-upper","Resident","Elongate",92.8,"Adhesive","Medium"
"Cyprinus_carpio","Cyprinus carpio","Omnivore","Inferior",3.1,"Benthic","Resident","Bent-axis",120,"Adhesive","Medium"
