"trait","original","english"
"Diet","杂食性","Omnivore"
"Diet","肉食性","Carnivore"
"Diet","植食性","Herbivore"
"Mouth position","口下位","Inferior"
"Mouth position","口端位","Terminal"
"Mouth position","口上位","Superior"
"Water layer","底层","Benthic"
"Water layer","中上层","Mid-upper"
"Water layer","中下层","Mid-lower"
"Migration type","定居型","Resident"
"Migration type","洄游型","Migratory"
"Body shape","曲轴型","Bent-axis"
"Body shape","椭圆形","Oval"
"Body shape","拉长型","Elongate"
"Body shape","梭形","Fusiform"
"Egg ecological type","粘性卵","Adhesive"
"Egg ecological type","漂流性卵","Pelagic"
"Egg ecological type","沉性卵","Demersal"
"Resilience","中等","Medium"
"Resilience","高","High"
"Resilience","低","Low"
